american_beauty,1999,American Beauty,122
anna,1987,Anna,100
blade_runner,1982,Blade Runner,117
barton_fink,1991,Barton Fink,116
the_big_lebowski,1998,The Big Lebowski,117
blood_simple,1984,Blood Simple,99
the_cotton_club,1984,The Cotton Club,127
cq,2001,CQ,88
crimewave,1985,Crimewave,83
down_from_the_mountain,2000,Down from the Mountain,98
the_great_debaters,2007,The Great Debaters,126
fargo,1996,Fargo,98
the_firm,1993,The Firm,154
frankenweenie,1984,Frankenweenie,29
her,2013,Her,126
ghostbusters,1984,Ghostbusters,105
girl_with_a_pearl_earring,2003,Girl with a Pearl Earring,100
the_godfather,1972,The Godfather,175
the_godfather_part_ii,1974,The Godfather: Part II,202
the_godfather_part_iii,1990,The Godfather: Part III,162
groundhog_day,1993,Groundhog Day,101
hearts_of_darkness_a_filmmaker_s_apocalypse,1991,Hearts of Darkness: A Filmmaker's Apocalypse,96
the_hudsucker_proxy,1994,The Hudsucker Proxy,111
inside_monkey_zetterland,1992,Inside Monkey Zetterland,93
intolerable_cruelty,2003,Intolerable Cruelty,100
the_da_vinci_code,2006,The Da Vinci Code,149
the_ladykillers,2004,The Ladykillers,104
lick_the_star,1998,Lick the Star,14
lost_in_translation,2003,Lost in Translation,102
the_man_who_wasn_t_there,2001,The Man Who Wasn't There,116
marie_antoinette,2006,Marie Antoinette,123
miller_s_crossing,1990,Miller's Crossing,115
mission_impossible,1996,Mission: Impossible,110
no_country_for_old_men,2007,No Country for Old Men,122
o_brother_where_art_thou,2000,"O Brother, Where Art Thou?",107
the_outsiders,1983,The Outsiders,91
paris_je_t_aime,2006,"Paris, je t'aime",120
peggy_sue_got_married,1986,Peggy Sue Got Married,103
interstellar,2014,Interstellar,169
raising_arizona,1987,Raising Arizona,94
rumble_fish,1983,Rumble Fish,94
spies_like_us,1985,Spies Like Us,102
star_wars_episode_i__the_phantom_menace,1999,Star Wars: Episode I - The Phantom Menace,136
torrance_rises,1999,Torrance Rises,34
the_usual_suspects,1995,The Usual Suspects,106
the_virgin_suicides,1999,The Virgin Suicides,97
an_american_rhapsody,2001,An American Rhapsody,106
the_black_dahlia,2006,The Black Dahlia,121
fall,1997,Fall,93
spanglish,2004,Spanglish,131
eight_legged_freaks,2002,Eight Legged Freaks,99
ghost_world,2001,Ghost World,111
a_good_woman,2004,A Good Woman,93
if_lucy_fell,1996,If Lucy Fell,92
the_oxford_murders,2008,The Oxford Murders,104
home_alone_3,1997,Home Alone 3,102
the_horse_whisperer,1998,The Horse Whisperer,169
pride__prejudice,2005,Pride & Prejudice,129
in_good_company,2004,In Good Company,109
just_cause,1995,Just Cause,102
the_island,2005,The Island,136
a_love_song_for_bobby_long,2004,A Love Song for Bobby Long,119
manny__lo,1996,Manny & Lo,88
the_theory_of_everything,2014,The Theory of Everything,123
crash,2004,Crash,112
match_point,2005,Match Point,124
my_brother_the_pig,1999,My Brother the Pig,92
north,1994,North,87
the_perfect_score,2004,The Perfect Score,93
the_spongebob_squarepants_movie,2004,The SpongeBob SquarePants Movie,87
scoop,2006,Scoop,96
the_imitation_game,2014,The Imitation Game,114
